url_phish,targeted brand,type,searcher,git url
http://dominoqq99.vip/ivg/AllDomain,Generic/Spear Phishing,no quotation,google,https://github.com/rmusser01/Infosec_Reference/blob/master/Draft/Phishing.md
http://dominoqq99.vip/ivg/AllDomain,Generic/Spear Phishing,no quotation,google,https://github.com/WilsonHuha/cbr-doc/blob/master/posts/cc/Phishing_post_sort_by_cc_cnt.md
http://dominoqq99.vip/ivg/AllDomain,Generic/Spear Phishing,quotation,google,https://github.com/rmusser01/Infosec_Reference/blob/master/Draft/Phishing.md
http://dominoqq99.vip/ivg/AllDomain,Generic/Spear Phishing,quotation,google,https://github.com/WilsonHuha/cbr-doc/blob/master/posts/cc/Phishing_post_sort_by_cc_cnt.md
http://dominoqq99.vip/ivg/AllDomain,Generic/Spear Phishing,no quotation,duckduckgo,https://github.com/anu-cybercrime-observatory/spear-phishing-framework
http://dominoqq99.vip/ivg/AllDomain,Generic/Spear Phishing,no quotation,duckduckgo,https://github.com/xHak9x/SocialPhish
http://dominoqq99.vip/ivg/AllDomain,Generic/Spear Phishing,quotation,duckduckgo,https://github.com/anu-cybercrime-observatory/spear-phishing-framework
http://dominoqq99.vip/ivg/AllDomain,Generic/Spear Phishing,quotation,duckduckgo,https://github.com/xHak9x/SocialPhish
http://login.yahoo.account.acquireenglish.org/,Yahoo! Inc,no quotation,google,https://github.com/topics/yahoo-phishing
http://login.yahoo.account.acquireenglish.org/,Yahoo! Inc,no quotation,google,https://github.com/wifiphisher/extra-phishing-pages
http://login.yahoo.account.acquireenglish.org/,Yahoo! Inc,quotation,google,https://github.com/minhdeal/cs660/blob/master/IRTermProject/model%255Cnewdocs.dat
http://login.yahoo.account.acquireenglish.org/,Yahoo! Inc,quotation,google,https://github.com/aercolino/Chili/blob/master/src/examples/html-css-javascript.html
http://login.yahoo.account.acquireenglish.org/,Yahoo! Inc,no quotation,duckduckgo,https://github.com/richardsonjf/shellphish
http://login.yahoo.account.acquireenglish.org/,Yahoo! Inc,no quotation,duckduckgo,https://github.com/xHak9x/SocialPhish
http://login.yahoo.account.acquireenglish.org/,Yahoo! Inc,quotation,duckduckgo,https://github.com/sstrickx/yahoofinance-api
http://login.yahoo.account.acquireenglish.org/,Yahoo! Inc,quotation,duckduckgo,https://github.com/yahoo/hecate
